"101",NULL,NULL,"3130",NULL,"SubNr","17"
"101","20",NULL,"3709",NULL,"age","18"
"101","20","Weiblich","1957",NULL,"sex","19"
"101","20","Weiblich","1283",NULL,NULL,"20"
"101","20","Weiblich","26538","1,1,1,3","ARQ1","21"
"101","20","Weiblich","15421","0,0,0,0","ARQ2","22"
"101","20","Weiblich","8758","0,0,0,2","ARQ3","23"
"101","20","Weiblich","14030","0,1,2,1","ARQ4","24"
"101","20","Weiblich","10902","0,0,3,3","ARQ5","25"
"101","20","Weiblich","5199","3,1","ARQ6","26"
"101","20","Weiblich","10887","3","PDS1","27"
"101","20","Weiblich","6590","3","PDS2","28"
"101","20","Weiblich","3623","0","PDS3","29"
"101","20","Weiblich","22687",NULL,NULL,"30"
"101","20","Weiblich","13090","0,2,2,0","ARQ1_HowOften","31"
"101","20","Weiblich","10302","0,4,2,2","ARQ2_HowOften","32"
"101","20","Weiblich","12326","3,1,0,3","ARQ3_HowOften","33"
"101","20","Weiblich","8951","1,1,0,4","ARQ4_HowOften","34"
"101","20","Weiblich","9134","4,0,0,0","ARQ5_HowOften","35"
"101","20","Weiblich","7796","3,2","ARQ6_HowOFten","36"
"101","20","Weiblich","7451",NULL,NULL,"37"
"101","20","Weiblich","21154","1,1,3,2","IU1","38"
"101","20","Weiblich","22149","1,1,1,1","IU2","39"
"101","20","Weiblich","17364","0,2,3,3","IU3","40"
"101","20","Weiblich","9010",NULL,NULL,"41"
"101","20","Weiblich","8315","2,2,1,0","ARQ1_HowMany","42"
"101","20","Weiblich","11006","1,4,3,4","ARQ2_HowMany","43"
"101","20","Weiblich","8420","4,4,4,4","ARQ3_HowMany","44"
"101","20","Weiblich","9926","2,1,3,4","ARQ4_HowMany","45"
"101","20","Weiblich","8996","3,0,0,1","ARQ5_HowMany","46"
"101","20","Weiblich","5038","3,2","ARQ6","47"
"101","20","Weiblich","9486","5","SOEP","48"
"101","20","Weiblich","5119","1","Pref1","49"
"101","20","Weiblich","9671","3","Pref2","50"
"101","20","Weiblich","6342","0","Pref3","51"
"101","20","Weiblich","5327","0","Pref4","52"
"101","20","Weiblich","7231","3","Pref5","53"
"101","20","Weiblich","4143","3","Pref5","54"
"101","20","Weiblich","3567","2","Pref5","55"
"101","20","Weiblich","5301","3","Pref5","56"
"101","20","Weiblich","4839","2","Pref5","57"
"101","20","Weiblich","8174","0","Pref5","58"
"101","20","Weiblich","10647","1","Pref10","59"
"101","20","Weiblich","5187",NULL,NULL,"60"
"101","20","Weiblich","12747","2,2,2,0","ARQ1_Recom","61"
"101","20","Weiblich","7678","2,2,2,1","ARQ2_Recom","62"
"101","20","Weiblich","7095","2,1,2,2","ARQ3_Recom","63"
"101","20","Weiblich","8644","1,0,0,2","ARQ4_Recom","64"
"101","20","Weiblich","12470","1,2,0,0","ARQ5_Recom","65"
"101","20","Weiblich","4934","1,0","ARQ6_Recom","66"
NULL,NULL,NULL,"5943",NULL,"SubNr","67"
"102","234567890",NULL,"3890",NULL,"age","68"
"102","234567890","Keine Angabe","1753",NULL,"sex","69"
"102","234567890","Keine Angabe","1653",NULL,NULL,"70"
"102",NULL,NULL,"2404",NULL,"SubNr","71"
"102","19",NULL,"2356",NULL,"age","72"
"102","19","Weiblich","1804",NULL,"sex","73"
"102","19","Weiblich","1042",NULL,NULL,"74"
"102","19","Weiblich","22834","2,3,3,4","ARQ1","75"
"102","19","Weiblich","11414","3,2,1,4","ARQ2","76"
"102","19","Weiblich","11959","1,1,2,2","ARQ3","77"
